A B C
71 30 39
59 26 77
41 29 19
38 72 20
100 97 49
81 63 39
19 39 72
91 91 67
25 38 68
13 89 42
81 53 67
31 98 71
42 99 19
66 27 85
78 58 7
8 73 64
84 85 12
51 49 25
85 100 31
22 84 48
75 14 85
64 69 17
6 14 36
16 83 69
89 17 99
93 8 39
5 90 16
94 61 42
42 48 17
29 81 96
31 54 50
87 83 29
50 25 12
91 79 63
27 85 84
27 84 63
56 35 77
10 42 20
21 35 22
72 26 61
12 44 22
57 9 65
18 6 51
60 58 56
75 33 59
20 96 25
3 99 97
75 70 6
45 3 38
42 40 16
8 62 25
97 65 31
69 100 60
13 35 58
42 18 100
6 75 22
78 12 85
39 77 40
80 82 10
87 70 17
33 69 100
50 39 80
89 44 7
75 38 12
96 57 26
88 47 46
39 25 6
78 88 26
29 92 12
18 65 49
69 40 43
12 97 27
92 93 82
30 38 33
100 29 66
85 3 88
36 46 76
66 21 98
74 65 3
23 13 87
83 31 93
58 15 17
15 100 62
28 51 3
56 51 55
4 97 64
48 40 26
84 31 50
94 30 33
46 14 54
18 85 64
65 25 87
11 4 38
53 33 69
49 66 46
17 60 46
82 40 9
92 47 19
74 28 83
56 33 33
49 75 91
24 50 79
98 40 14
66 82 12
35 8 79
75 16 23
10 74 96
36 26 22
60 12 48
1 3 71
56 87 59
64 23 48
97 17 10
15 17 24
88 81 26
88 46 87
89 55 6
80 9 81
100 23 96
40 63 31
92 96 26
4 36 5
63 52 55
18 71 24
54 22 6
38 93 6
31 25 92
9 25 84
31 1 66
79 35 97
14 43 25
7 29 48
57 23 90
42 96 38
16 17 35
57 18 59
17 21 61
50 59 31
77 86 49
80 49 91
92 59 9
20 36 13
55 81 72
39 30 27
64 85 36
9 94 88
96 34 58
46 13 94
55 47 73
99 41 96
75 13 70
39 26 8
49 47 97
32 66 78
88 35 29
17 7 49
87 96 26
76 30 67
13 12 43
61 16 70
40 75 61
66 60 66
96 49 59
52 54 21
59 84 40
15 85 21
75 6 18
91 91 63
32 27 84
73 34 51
100 15 71
64 68 29
78 76 86
79 88 96
82 27 19
16 32 85
45 68 85
99 89 29
62 1 43
19 59 77
3 93 79
15 82 18
8 91 80
78 81 23
19 70 66
44 93 94
39 87 56
99 45 62
61 53 59
85 74 61
94 65 42
67 36 25
88 48 40
14 23 31
59 66 21
2 81 48
45 69 60
41 89 18
64 33 21
98 84 8
8 54 50
73 64 96
9 41 16
3 72 65
73 10 81
86 14 60
63 57 65
41 73 6
57 60 93
89 43 91
41 3 82
25 80 59
14 38 35
12 84 90
55 53 24
19 3 68
31 67 34
63 78 90
51 86 61
9 50 100
58 11 32
24 66 84
95 17 22
3 9 93
2 100 43
48 26 97
95 76 75
43 79 86
47 30 69
17 73 93
48 31 99
84 11 88
13 79 90
77 86 49
81 40 3
25 36 54
26 5 42
65 46 52
73 77 73
20 81 96
82 7 33
65 86 69
90 68 49
7 17 95
24 89 91
64 83 1
59 79 42
16 49 23
86 10 5
75 33 10
80 89 99
69 37 86
99 95 10
37 52 22
79 14 13
92 15 12
68 42 33
51 33 4
7 78 55
46 82 55
70 42 11
29 88 41
60 34 70
5 99 97
31 44 61
42 97 44
21 86 65
49 12 60
45 67 87
52 62 63
71 7 43
31 14 35
14 65 96
74 66 8
88 13 60
65 20 21
48 20 56
62 46 28
7 22 91
93 5 8
56 96 32
31 44 56
41 74 69
37 69 19
19 66 29
78 27 73
10 66 23
95 49 59
94 60 94
91 44 4
91 43 27
92 59 35
11 36 47
43 19 75
43 3 25
21 1 52
9 34 7
49 16 39
90 28 78
9 45 16
67 25 45
57 70 29
95 57 74
58 65 73
79 80 40
36 69 91
7 24 45
95 65 10
44 54 23
96 97 17
90 8 37
46 19 5
16 33 64
58 64 47
58 43 38
55 72 24
15 91 81
39 79 2
11 16 18
44 52 37
82 31 17
20 29 48
15 73 84
56 32 35
72 7 70
28 8 6
92 89 44
78 93 13
26 73 8
43 46 56
35 6 60
97 65 3
7 7 63
32 68 62
60 76 22
4 67 59
28 9 12
60 73 59
87 60 3
33 16 4
43 64 99
37 22 60
44 39 62
73 7 42
58 57 80
87 50 8
42 15 67
36 38 15
79 33 85
9 16 71
69 20 21
44 2 6
82 53 44
83 31 43
10 19 69
82 91 35
42 43 57
12 91 82
11 61 4
49 26 78
11 31 97
61 95 88
37 67 95
64 71 98
77 85 70
88 69 21
2 76 27
73 21 38
61 95 53
36 100 62
94 3 27
52 64 3
76 85 57
56 29 90
23 83 98
90 67 90
57 34 38
11 74 58
45 46 18
51 33 89
20 36 91
61 47 70
41 76 19
33 46 98
25 8 58
36 79 88
40 33 84
16 57 16
68 37 9
10 85 71
81 42 8
10 68 97
100 58 55
38 91 92
3 59 46
28 13 10
80 38 94
18 79 9
44 47 26
27 95 81
36 90 91
48 6 79
100 29 46
45 90 21
16 94 29
36 28 100
84 70 73
76 89 17
51 11 59
63 68 94
56 10 80
2 39 98
4 42 86
37 90 77
43 57 17
24 74 48
11 35 27
21 87 7
43 82 5
46 84 92
17 95 90
92 51 87
7 69 37
80 32 81
67 29 14
19 43 18
21 100 69
34 54 90
72 30 11
46 74 7
35 86 7
87 50 9
26 90 22
38 17 47
22 4 68
69 5 8
19 28 89
82 53 98
28 38 85
66 43 96
48 49 64
56 40 96
37 17 64
43 38 68
4 3 46
33 63 2
82 30 15
78 24 50
52 76 88
74 1 66
47 43 100
46 90 50
41 54 68
1 84 7
85 84 78
64 64 90
6 64 88
25 78 77
95 29 88
89 85 16
5 24 71
51 38 90
42 68 77
25 97 76
23 24 42
51 64 92
85 73 25
44 86 29
60 88 11
8 63 91
68 36 78
74 44 28
8 98 28
86 36 68
91 37 87
44 24 68
27 12 58
13 47 6
45 8 35
90 16 17
66 52 35
100 23 67
40 3 24
74 46 15
73 52 71
37 4 94
36 100 64
85 50 48
7 52 44
7 54 15
80 11 53
5 47 19
51 96 70
46 74 63
58 16 50
44 79 100
25 81 38
33 42 72
79 7 86
59 62 100
41 19 99
56 37 87
12 12 34
93 29 51
7 86 20
71 42 91
28 35 14
28 52 92
8 16 3
60 91 65
54 67 15
61 38 79
38 72 22
67 61 41
62 46 7
10 60 38
64 96 57
5 69 7
19 76 84
100 18 10
10 68 14
13 26 91
49 8 32
29 45 7
83 78 32
31 4 59
27 29 4
24 62 34
36 88 20
95 4 92
27 51 63
35 27 22
23 67 92
99 3 27
82 79 85
45 52 88
77 49 89
24 5 60
63 88 57
64 9 73
35 57 2
14 96 82
59 18 34
24 64 23
28 35 23
37 55 58
17 34 7
16 75 16
21 27 22
91 10 26
2 91 65
4 12 91
68 34 25
85 55 86
55 57 28
5 19 95
97 8 77
65 52 13
65 1 68
74 28 6
86 24 12
16 72 92
100 49 100
3 95 90
39 93 47
100 15 57
34 42 46
56 22 66
58 34 56
1 7 62
20 100 21
94 16 74
25 60 78
67 34 96
69 11 97
94 40 74
15 39 11
54 56 17
72 17 32
68 98 27
85 56 51
40 55 61
89 69 91
85 7 6
79 97 64
